name,source,region,number_of_games,start_date,end_date
LCK Summer 2016,https://gol.gg/tournament/tournament-stats/LCK%20Summer%202016/,KR,212,2016-05-25,2016-08-06
EU LCS Summer 2016,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Summer%202016/,EUW,182,2016-06-02,2016-07-31
NA LCS Summer 2016,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Summer%202016/,NA,218,2016-06-03,2016-07-31
Mid-Season Invitational 2016,https://gol.gg/tournament/tournament-stats/Mid-Season%20Invitational%202016/,WR,41,2016-05-04,2016-05-15
LCK Summer Promo 2016,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Promo%202016/,KR,7,2016-04-28,2016-04-29
IWCI Playoffs 2016,https://gol.gg/tournament/tournament-stats/IWCI%20Playoffs%202016/,WR,10,2016-04-20,2016-04-23
LPL Spring Playoffs 2016,https://gol.gg/tournament/tournament-stats/LPL%20Spring%20Playoffs%202016/,CN,24,2016-04-13,2016-04-23
LCK Spring Playoffs 2016,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Playoffs%202016/,KR,13,2016-04-13,2016-04-23
LMS Spring Playoffs 2016,https://gol.gg/tournament/tournament-stats/LMS%20Spring%20Playoffs%202016/,TW,11,2016-04-15,2016-04-17
NA LCS Spring Playoffs 2016,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Spring%20Playoffs%202016/,NA,23,2016-04-02,2016-04-17
EU LCS Spring Playoffs 2016,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Spring%20Playoffs%202016/,EUW,25,2016-04-02,2016-04-17
LPL Spring 2016,https://gol.gg/tournament/tournament-stats/LPL%20Spring%202016/,CN,226,2016-01-14,2016-04-10
LCK Spring 2016,https://gol.gg/tournament/tournament-stats/LCK%20Spring%202016/,KR,215,2016-01-13,2016-04-09
NA LCS Summer Promo 2016,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Summer%20Promo%202016/,NA,13,2016-04-06,2016-04-08
EU LCS Summer Promo 2016,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Summer%20Promo%202016/,EUW,18,2016-03-24,2016-03-27
NA LCS Spring 2016,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Spring%202016/,NA,90,2016-01-16,2016-03-20
EU LCS Spring 2016,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Spring%202016/,EUW,90,2016-01-14,2016-03-18
IEM Katowice 2016,https://gol.gg/tournament/tournament-stats/IEM%20Katowice%202016/,WR,25,2016-03-04,2016-03-06
IEM Cologne 2015,https://gol.gg/tournament/tournament-stats/IEM%20Cologne%202015/,WR,17,2015-12-18,2015-12-20
World Championship 2017,https://gol.gg/tournament/tournament-stats/World%20Championship%202017/,WR,80,2017-10-05,2017-11-04
World Championship Play-In 2017,https://gol.gg/tournament/tournament-stats/World%20Championship%20Play-In%202017/,WR,39,2017-09-23,2017-09-29
LCK Spring Promotion 2018,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Promotion%202018/,KR,16,2017-09-12,2017-09-16
NA LCS Regional Qualifiers 2017,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Regional%20Qualifiers%202017/,NA,11,2017-09-08,2017-09-10
EU LCS Regional Qualifiers 2017,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Regional%20Qualifiers%202017/,EUW,11,2017-09-08,2017-09-10
LPL Regional Qualifiers 2017,https://gol.gg/tournament/tournament-stats/LPL%20Regional%20Qualifiers%202017/,CN,8,2017-09-02,2017-09-03
NA LCS Summer Playoffs 2017,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Summer%20Playoffs%202017/,NA,23,2017-08-19,2017-09-03
EU LCS Summer Playoffs 2017,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Summer%20Playoffs%202017/,EUW,23,2017-08-19,2017-09-03
LCL Summer Playoffs 2017,https://gol.gg/tournament/tournament-stats/LCL%20Summer%20Playoffs%202017/,CIS,12,2017-08-19,2017-09-03
CBLOL Winter Playoffs 2017,https://gol.gg/tournament/tournament-stats/CBLOL%20Winter%20Playoffs%202017/,BR,13,2017-08-19,2017-09-02
LCK Regional Qualifiers 2017,https://gol.gg/tournament/tournament-stats/LCK%20Regional%20Qualifiers%202017/,KR,13,2017-08-28,2017-09-02
LPL Summer Playoffs 2017,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Playoffs%202017/,CN,31,2017-08-22,2017-09-01
LMS Regional Qualifiers 2017,https://gol.gg/tournament/tournament-stats/LMS%20Regional%20Qualifiers%202017/,TW,12,2017-08-26,2017-08-28
LCK Summer Playoffs 2017,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Playoffs%202017/,KR,14,2017-08-12,2017-08-26
EU LCS Spring Promotion 2017,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Spring%20Promotion%202017/,EUW,20,2017-08-17,2017-08-25
LMS Summer Playoffs 2017,https://gol.gg/tournament/tournament-stats/LMS%20Summer%20Playoffs%202017/,TW,12,2017-08-18,2017-08-25
LPL Summer 2017,https://gol.gg/tournament/tournament-stats/LPL%20Summer%202017/,CN,233,2017-06-08,2017-08-20
EU LCS Summer 2017,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Summer%202017/,EUW,153,2017-06-01,2017-08-13
NA LCS Spring Promotion 2018,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Spring%20Promotion%202018/,NA,19,2017-08-11,2017-08-13
EU CS Summer 2017,https://gol.gg/tournament/tournament-stats/EU%20CS%20Summer%202017/,EUW,37,2017-06-18,2017-08-06
LCL Summer 2017,https://gol.gg/tournament/tournament-stats/LCL%20Summer%202017/,CIS,60,2017-06-24,2017-08-06
LCK Summer 2017,https://gol.gg/tournament/tournament-stats/LCK%20Summer%202017/,KR,219,2017-05-30,2017-08-06
NA LCS Summer 2017,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Summer%202017/,NA,226,2017-06-03,2017-08-06
LMS Summer 2017,https://gol.gg/tournament/tournament-stats/LMS%20Summer%202017/,TW,132,2017-06-03,2017-08-06
NA CS Summer 2017,https://gol.gg/tournament/tournament-stats/NA%20CS%20Summer%202017/,NA,82,2017-06-08,2017-07-28
CBLOL Winter 2017,https://gol.gg/tournament/tournament-stats/CBLOL%20Winter%202017/,BR,56,2017-06-03,2017-07-23
LCK-LPL-LMS Rift Rivals 2017,https://gol.gg/tournament/tournament-stats/LCK-LPL-LMS%20Rift%20Rivals%202017/,WR,21,2017-07-06,2017-07-09
LCL-TCL Rift Rivals 2017,https://gol.gg/tournament/tournament-stats/LCL-TCL%20Rift%20Rivals%202017/,WR,19,2017-07-06,2017-07-09
EU-NA Rift Rivals 2017,https://gol.gg/tournament/tournament-stats/EU-NA%20Rift%20Rivals%202017/,WR,21,2017-07-05,2017-07-08
CBLOL-LLN-CLS Rift Rivals 2017,https://gol.gg/tournament/tournament-stats/CBLOL-LLN-CLS%20Rift%20Rivals%202017/,WR,22,2017-07-05,2017-07-08
GPL-OPL-LJL Rift Rivals 2017,https://gol.gg/tournament/tournament-stats/GPL-OPL-LJL%20Rift%20Rivals%202017/,WR,18,2017-07-03,2017-07-06
Mid-Season Invitational 2017,https://gol.gg/tournament/tournament-stats/Mid-Season%20Invitational%202017/,WR,42,2017-05-10,2017-05-21
MSI Play-In 2017,https://gol.gg/tournament/tournament-stats/MSI%20Play-In%202017/,WR,36,2017-04-28,2017-05-06
LPL Spring Playoffs 2017,https://gol.gg/tournament/tournament-stats/LPL%20Spring%20Playoffs%202017/,CN,31,2017-04-18,2017-04-29
LMS Spring Playoffs 2017,https://gol.gg/tournament/tournament-stats/LMS%20Spring%20Playoffs%202017/,TW,11,2017-04-21,2017-04-23
EU LCS Spring Playoffs 2017,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Spring%20Playoffs%202017/,EUW,23,2017-04-08,2017-04-23
NA LCS Spring Playoffs 2017,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Spring%20Playoffs%202017/,NA,24,2017-04-08,2017-04-23
LCK Spring Playoffs 2017,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Playoffs%202017/,KR,11,2017-04-07,2017-04-22
LPL Spring 2017,https://gol.gg/tournament/tournament-stats/LPL%20Spring%202017/,CN,231,2017-01-19,2017-04-16
EU LCS Summer Promotion 2017,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Summer%20Promotion%202017/,EUW,18,2017-04-06,2017-04-14
LCL Spring Playoffs 2017,https://gol.gg/tournament/tournament-stats/LCL%20Spring%20Playoffs%202017/,CIS,14,2017-04-01,2017-04-09
LMS Spring 2017,https://gol.gg/tournament/tournament-stats/LMS%20Spring%202017/,TW,125,2017-01-21,2017-04-09
CBLOL Summer Playoffs 2017,https://gol.gg/tournament/tournament-stats/CBLOL%20Summer%20Playoffs%202017/,BR,11,2017-03-25,2017-04-08
NA LCS Summer Promotion 2017,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Summer%20Promotion%202017/,NA,22,2017-04-01,2017-04-02
LCK Spring 2017,https://gol.gg/tournament/tournament-stats/LCK%20Spring%202017/,KR,222,2017-01-17,2017-04-02
EU LCS Spring 2017,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Spring%202017/,EUW,156,2017-01-19,2017-04-02
EU CS Spring 2017,https://gol.gg/tournament/tournament-stats/EU%20CS%20Spring%202017/,EUW,39,2017-02-05,2017-03-26
NA LCS Spring 2017,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Spring%202017/,NA,221,2017-01-21,2017-03-26
LCL Spring 2017,https://gol.gg/tournament/tournament-stats/LCL%20Spring%202017/,CIS,55,2017-01-28,2017-03-19
NA CS Spring 2017,https://gol.gg/tournament/tournament-stats/NA%20CS%20Spring%202017/,NA,41,2017-01-26,2017-03-16
CBLOL Summer 2017,https://gol.gg/tournament/tournament-stats/CBLOL%20Summer%202017/,BR,56,2017-01-21,2017-03-12
IEM Katowice 2017,https://gol.gg/tournament/tournament-stats/IEM%20Katowice%202017/,WR,27,2017-02-22,2017-02-26
IEM Gyeonggi 2016,https://gol.gg/tournament/tournament-stats/IEM%20Gyeonggi%202016/,WR,26,2016-12-14,2016-12-18
World Championship 2018,https://gol.gg/tournament/tournament-stats/World%20Championship%202018/,WR,77,2018-10-10,2018-11-03
World Championship Play-In 2018,https://gol.gg/tournament/tournament-stats/World%20Championship%20Play-In%202018/,WR,42,2018-10-01,2018-10-07
EU Masters Summer 2018,https://gol.gg/tournament/tournament-stats/EU%20Masters%20Summer%202018/,EUW,42,2018-09-17,2018-09-30
VCS Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/VCS%20Summer%20Playoffs%202018/,VN,13,2018-09-07,2018-09-22
LMS Regional Qualifiers 2018,https://gol.gg/tournament/tournament-stats/LMS%20Regional%20Qualifiers%202018/,TW,12,2018-09-20,2018-09-22
LCK Spring Promotion 2019,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Promotion%202019/,KR,14,2018-09-18,2018-09-22
LPL Regional Qualifiers 2018,https://gol.gg/tournament/tournament-stats/LPL%20Regional%20Qualifiers%202018/,CN,9,2018-09-15,2018-09-16
NA LCS Regional Qualifiers 2018,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Regional%20Qualifiers%202018/,NA,9,2018-09-14,2018-09-16
EU LCS Regional Qualifiers 2018,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Regional%20Qualifiers%202018/,EUW,14,2018-09-14,2018-09-16
LCK Regional Qualifiers 2018,https://gol.gg/tournament/tournament-stats/LCK%20Regional%20Qualifiers%202018/,KR,13,2018-09-12,2018-09-16
TCL Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/TCL%20Summer%20Playoffs%202018/,TR,20,2018-08-25,2018-09-16
LJL Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/LJL%20Summer%20Playoffs%202018/,JP,7,2018-09-08,2018-09-15
LMS Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/LMS%20Summer%20Playoffs%202018/,TW,10,2018-09-07,2018-09-15
LPL Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Playoffs%202018/,CN,32,2018-09-05,2018-09-14
EU Masters 2018 Summer Play-In,https://gol.gg/tournament/tournament-stats/EU%20Masters%202018%20Summer%20Play-In/,EUW,23,2018-09-10,2018-09-13
NA LCS Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Summer%20Playoffs%202018/,NA,25,2018-08-25,2018-09-09
EU LCS Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Summer%20Playoffs%202018/,EUW,24,2018-08-24,2018-09-09
CLS Closing Playoffs 2018,https://gol.gg/tournament/tournament-stats/CLS%20Closing%20Playoffs%202018/,LAS,18,2018-08-30,2018-09-09
LCK Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Playoffs%202018/,KR,16,2018-08-12,2018-09-08
LLN Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/LLN%20Summer%20Playoffs%202018/,LAN,19,2018-08-31,2018-09-08
CBLOL Winter Playoffs 2018,https://gol.gg/tournament/tournament-stats/CBLOL%20Winter%20Playoffs%202018/,BR,16,2018-08-11,2018-09-08
LCL Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/LCL%20Summer%20Playoffs%202018/,CIS,13,2018-08-25,2018-09-02
LPL Summer 2018,https://gol.gg/tournament/tournament-stats/LPL%20Summer%202018/,CN,328,2018-06-11,2018-09-02
LVP Summer 2018,https://gol.gg/tournament/tournament-stats/LVP%20Summer%202018/,ES,126,2018-05-26,2018-09-02
OPL Split 2 Playoffs 2018,https://gol.gg/tournament/tournament-stats/OPL%20Split%202%20Playoffs%202018/,OCE,15,2018-08-24,2018-09-02
NA Academy Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Summer%20Playoffs%202018/,NA,23,2018-08-17,2018-09-01
Hitpoint LEGENDS 2,https://gol.gg/tournament/tournament-stats/Hitpoint%20LEGENDS%202/,CZ,12,2018-08-26,2018-08-27
LLN Summer 2018,https://gol.gg/tournament/tournament-stats/LLN%20Summer%202018/,LAN,56,2018-06-17,2018-08-26
CLS Closing 2018,https://gol.gg/tournament/tournament-stats/CLS%20Closing%202018/,LAS,84,2018-06-16,2018-08-26
NA LCS Summer 2018,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Summer%202018/,NA,94,2018-06-16,2018-08-21
TCL Summer 2018,https://gol.gg/tournament/tournament-stats/TCL%20Summer%202018/,TR,112,2018-06-16,2018-08-20
SEA Tour Summer 2018,https://gol.gg/tournament/tournament-stats/SEA%20Tour%20Summer%202018/,SEA,36,2018-08-13,2018-08-19
LCL Summer 2018,https://gol.gg/tournament/tournament-stats/LCL%20Summer%202018/,CIS,58,2018-07-21,2018-08-19
VCS Summer 2018,https://gol.gg/tournament/tournament-stats/VCS%20Summer%202018/,VN,130,2018-06-21,2018-08-19
EU LCS Summer 2018,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Summer%202018/,EUW,93,2018-06-15,2018-08-19
LMS Summer 2018,https://gol.gg/tournament/tournament-stats/LMS%20Summer%202018/,TW,136,2018-06-23,2018-08-18
OPL Split 2 2018,https://gol.gg/tournament/tournament-stats/OPL%20Split%202%202018/,OCE,94,2018-06-08,2018-08-18
LJL Summer 2018,https://gol.gg/tournament/tournament-stats/LJL%20Summer%202018/,JP,75,2018-06-22,2018-08-11
NA Academy Summer 2018,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Summer%202018/,NA,89,2018-06-15,2018-08-11
Hitpoint Masters Season 10,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Season%2010/,CZ,29,2018-07-26,2018-08-09
LCK Summer 2018,https://gol.gg/tournament/tournament-stats/LCK%20Summer%202018/,KR,218,2018-06-12,2018-08-09
CBLOL Winter 2018,https://gol.gg/tournament/tournament-stats/CBLOL%20Winter%202018/,BR,70,2018-06-09,2018-08-05
LPLOL Summer 2018,https://gol.gg/tournament/tournament-stats/LPLOL%20Summer%202018/,PT,48,2018-05-21,2018-07-09
LLN-CLS-CBLOL Rift-Rivals 2018,https://gol.gg/tournament/tournament-stats/LLN-CLS-CBLOL%20Rift-Rivals%202018/,WR,21,2018-07-04,2018-07-08
LCK-LPL-LMS Rift-Rivals 2018,https://gol.gg/tournament/tournament-stats/LCK-LPL-LMS%20Rift-Rivals%202018/,WR,20,2018-07-05,2018-07-08
NA LCS-EULCS Rift-Rivals 2018,https://gol.gg/tournament/tournament-stats/NA%20LCS-EULCS%20Rift-Rivals%202018/,WR,13,2018-07-05,2018-07-07
LCL-TCL-VCS Rift-Rivals 2018,https://gol.gg/tournament/tournament-stats/LCL-TCL-VCS%20Rift-Rivals%202018/,WR,19,2018-07-04,2018-07-07
SEA-LJL-OPL Rift-Rivals 2018,https://gol.gg/tournament/tournament-stats/SEA-LJL-OPL%20Rift-Rivals%202018/,WR,19,2018-07-02,2018-07-05
Mid-Season Invitational 2018,https://gol.gg/tournament/tournament-stats/Mid-Season%20Invitational%202018/,WR,43,2018-05-11,2018-05-20
MSI Play-In 2018,https://gol.gg/tournament/tournament-stats/MSI%20Play-In%202018/,WR,31,2018-05-03,2018-05-09
EU Masters Spring 2018,https://gol.gg/tournament/tournament-stats/EU%20Masters%20Spring%202018/,EUW,57,2018-04-14,2018-04-29
LPL Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/LPL%20Spring%20Playoffs%202018/,CN,30,2018-04-12,2018-04-28
LMS Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/LMS%20Spring%20Playoffs%202018/,TW,10,2018-04-14,2018-04-22
LCK Summer Promotion 2018,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Promotion%202018/,KR,17,2018-04-17,2018-04-22
TCL Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/TCL%20Spring%20Playoffs%202018/,TR,21,2018-04-07,2018-04-22
LLN Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/LLN%20Spring%20Playoffs%202018/,LAN,21,2018-03-31,2018-04-21
LCK Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Playoffs%202018/,KR,15,2018-03-31,2018-04-14
LJL Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/LJL%20Spring%20Playoffs%202018/,JP,7,2018-04-07,2018-04-14
CLS Opening Playoffs 2018,https://gol.gg/tournament/tournament-stats/CLS%20Opening%20Playoffs%202018/,LAS,20,2018-03-29,2018-04-14
LPL Spring 2018,https://gol.gg/tournament/tournament-stats/LPL%20Spring%202018/,CN,317,2018-01-15,2018-04-08
NA LCS Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Spring%20Playoffs%202018/,NA,22,2018-03-24,2018-04-08
EU LCS Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Spring%20Playoffs%202018/,EUW,24,2018-03-23,2018-04-08
CBLOL Summer Playoffs 2018,https://gol.gg/tournament/tournament-stats/CBLOL%20Summer%20Playoffs%202018/,BR,18,2018-03-17,2018-04-07
VCS Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/VCS%20Spring%20Playoffs%202018/,VN,13,2018-03-30,2018-04-07
Hitpoint LEGENDS 1,https://gol.gg/tournament/tournament-stats/Hitpoint%20LEGENDS%201/,CZ,9,2018-04-01,2018-04-02
LMS Spring 2018,https://gol.gg/tournament/tournament-stats/LMS%20Spring%202018/,TW,133,2018-01-20,2018-04-01
LCL Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/LCL%20Spring%20Playoffs%202018/,CIS,12,2018-03-17,2018-04-01
NA Academy Spring Playoffs 2018,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Spring%20Playoffs%202018/,NA,12,2018-03-22,2018-03-31
OPL Split 1 Playoffs 2018,https://gol.gg/tournament/tournament-stats/OPL%20Split%201%20Playoffs%202018/,OCE,19,2018-03-23,2018-03-31
LJL Spring 2018,https://gol.gg/tournament/tournament-stats/LJL%20Spring%202018/,JP,69,2018-02-09,2018-03-30
TCL Spring 2018,https://gol.gg/tournament/tournament-stats/TCL%20Spring%202018/,TR,112,2018-01-20,2018-03-26
LCK Spring 2018,https://gol.gg/tournament/tournament-stats/LCK%20Spring%202018/,KR,214,2018-01-16,2018-03-25
LVP Spring 2018,https://gol.gg/tournament/tournament-stats/LVP%20Spring%202018/,ES,123,2018-01-28,2018-03-25
CLS Opening 2018,https://gol.gg/tournament/tournament-stats/CLS%20Opening%202018/,LAS,84,2018-01-20,2018-03-25
LLN Spring 2018,https://gol.gg/tournament/tournament-stats/LLN%20Spring%202018/,LAN,43,2018-01-20,2018-03-24
Hitpoint Masters Season 9,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Season%209/,CZ,27,2018-03-06,2018-03-21
OPL Split 1 2018,https://gol.gg/tournament/tournament-stats/OPL%20Split%201%202018/,OCE,93,2018-01-20,2018-03-18
VCS Spring 2018,https://gol.gg/tournament/tournament-stats/VCS%20Spring%202018/,VN,134,2018-01-18,2018-03-18
NA LCS Spring 2018,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Spring%202018/,NA,95,2018-01-20,2018-03-18
EU LCS Spring 2018,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Spring%202018/,EUW,91,2018-01-19,2018-03-17
NA Academy Spring 2018,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Spring%202018/,NA,91,2018-01-19,2018-03-16
CBLOL Summer 2018,https://gol.gg/tournament/tournament-stats/CBLOL%20Summer%202018/,BR,66,2018-01-20,2018-03-11
LCL Spring 2018,https://gol.gg/tournament/tournament-stats/LCL%20Spring%202018/,CIS,58,2018-02-10,2018-03-11
Kespa Cup 2017,https://gol.gg/tournament/tournament-stats/Kespa%20Cup%202017/,KR,46,2017-11-20,2017-12-02
Challenge France 2017,https://gol.gg/tournament/tournament-stats/Challenge%20France%202017/,EUW,41,2017-11-10,2017-11-29
World Championship 2019,https://gol.gg/tournament/tournament-stats/World%20Championship%202019/,WR,77,2019-10-12,2019-11-10
MCR LoL 2019,https://gol.gg/tournament/tournament-stats/MCR%20LoL%202019/,CZ,22,2019-11-08,2019-11-10
LFL Finals 2019,https://gol.gg/tournament/tournament-stats/LFL%20Finals%202019/,FR,9,2019-10-30,2019-10-31
World Championship Play-In 2019,https://gol.gg/tournament/tournament-stats/World%20Championship%20Play-In%202019/,WR,43,2019-10-02,2019-10-08
EU Master Summer 2019,https://gol.gg/tournament/tournament-stats/EU%20Master%20Summer%202019/,EUW,44,2019-09-16,2019-09-29
LJL Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/LJL%20Summer%20Playoffs%202019/,JP,9,2019-09-01,2019-09-16
LST Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/LST%20Summer%20Playoffs%202019/,SEA,12,2019-09-07,2019-09-15
LEC Regional Finals 2019,https://gol.gg/tournament/tournament-stats/LEC%20Regional%20Finals%202019/,EUW,11,2019-09-13,2019-09-15
LCL Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/LCL%20Summer%20Playoffs%202019/,CIS,13,2019-08-31,2019-09-15
VCS Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/VCS%20Summer%20Playoffs%202019/,VN,17,2019-08-24,2019-09-15
EU Master Summer Play-In 2019,https://gol.gg/tournament/tournament-stats/EU%20Master%20Summer%20Play-In%202019/,EUW,25,2019-09-09,2019-09-12
LCK Spring Promotion 2020,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Promotion%202020/,KR,16,2019-09-09,2019-09-11
LEC Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/LEC%20Summer%20Playoffs%202019/,EUW,24,2019-08-23,2019-09-08
LMS Regional Finals 2019,https://gol.gg/tournament/tournament-stats/LMS%20Regional%20Finals%202019/,TW,10,2019-09-06,2019-09-08
LCS Regional Finals 2019,https://gol.gg/tournament/tournament-stats/LCS%20Regional%20Finals%202019/,NA,13,2019-09-06,2019-09-08
LPL Regional Finals 2019,https://gol.gg/tournament/tournament-stats/LPL%20Regional%20Finals%202019/,CN,10,2019-09-07,2019-09-08
CBLOL Winter Playoffs 2019,https://gol.gg/tournament/tournament-stats/CBLOL%20Winter%20Playoffs%202019/,BR,12,2019-08-24,2019-09-07
LCK Regional Finals 2019,https://gol.gg/tournament/tournament-stats/LCK%20Regional%20Finals%202019/,KR,13,2019-09-03,2019-09-07
LPL Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Playoffs%202019/,CN,31,2019-08-22,2019-09-06
LST Summer 2019,https://gol.gg/tournament/tournament-stats/LST%20Summer%202019/,SEA,62,2019-07-20,2019-09-01
LVP SLO Summer 2019,https://gol.gg/tournament/tournament-stats/LVP%20SLO%20Summer%202019/,ES,113,2019-06-03,2019-09-01
TCL Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/TCL%20Summer%20Playoffs%202019/,TR,20,2019-08-17,2019-08-31
LCK Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Playoffs%202019/,KR,13,2019-08-21,2019-08-31
LLA Closing Playoffs 2019,https://gol.gg/tournament/tournament-stats/LLA%20Closing%20Playoffs%202019/,LAT,19,2019-08-10,2019-08-31
OPL Split 2 Playoffs 2019,https://gol.gg/tournament/tournament-stats/OPL%20Split%202%20Playoffs%202019/,OCE,14,2019-08-22,2019-08-31
LMS Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/LMS%20Summer%20Playoffs%202019/,TW,13,2019-08-23,2019-08-31
Ultraliga Season 2,https://gol.gg/tournament/tournament-stats/Ultraliga%20Season%202/,PL,86,2019-06-18,2019-08-28
LCL Summer 2019,https://gol.gg/tournament/tournament-stats/LCL%20Summer%202019/,CIS,57,2019-07-20,2019-08-25
Hitpoint LEGENDS 4,https://gol.gg/tournament/tournament-stats/Hitpoint%20LEGENDS%204/,CZ,14,2019-08-24,2019-08-25
LCS Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/LCS%20Summer%20Playoffs%202019/,NA,26,2019-08-10,2019-08-25
LPL Summer 2019,https://gol.gg/tournament/tournament-stats/LPL%20Summer%202019/,CN,287,2019-06-01,2019-08-18
LJL Summer 2019,https://gol.gg/tournament/tournament-stats/LJL%20Summer%202019/,JP,84,2019-06-15,2019-08-18
Hitpoint Masters Season 12,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Season%2012/,CZ,36,2019-07-21,2019-08-18
LCK Summer 2019,https://gol.gg/tournament/tournament-stats/LCK%20Summer%202019/,KR,218,2019-06-05,2019-08-18
OPL Split 2 2019,https://gol.gg/tournament/tournament-stats/OPL%20Split%202%202019/,OCE,84,2019-06-07,2019-08-17
NA Academy Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Summer%20Playoffs%202019/,NA,20,2019-08-02,2019-08-17
LEC Summer 2019,https://gol.gg/tournament/tournament-stats/LEC%20Summer%202019/,EUW,91,2019-06-07,2019-08-17
VCS Summer 2019,https://gol.gg/tournament/tournament-stats/VCS%20Summer%202019/,VN,135,2019-06-20,2019-08-11
CBLOL Winter 2019,https://gol.gg/tournament/tournament-stats/CBLOL%20Winter%202019/,BR,84,2019-06-01,2019-08-10
LPLOL Summer 2019,https://gol.gg/tournament/tournament-stats/LPLOL%20Summer%202019/,PT,82,2019-06-08,2019-08-06
TCL Summer 2019,https://gol.gg/tournament/tournament-stats/TCL%20Summer%202019/,TR,91,2019-06-08,2019-08-04
LMS Summer 2019,https://gol.gg/tournament/tournament-stats/LMS%20Summer%202019/,TW,102,2019-06-13,2019-08-04
