name,source,region,number_of_games,start_date,end_date
LIT Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LIT%20Summer%20Playoffs%202024/,IT,16,2024-07-10,2024-07-25
LLA Closing 2024,https://gol.gg/tournament/tournament-stats/LLA%20Closing%202024/,LAT,63,2024-06-11,2024-07-24
LCO Split 2 Playoffs 2024,https://gol.gg/tournament/tournament-stats/LCO%20Split%202%20Playoffs%202024/,OCE,22,2024-07-15,2024-07-22
GLL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/GLL%20Summer%20Playoffs%202024/,GR,14,2024-07-09,2024-07-20
LPLOL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LPLOL%20Summer%20Playoffs%202024/,PT,18,2024-07-04,2024-07-20
LFL Summer 2024,https://gol.gg/tournament/tournament-stats/LFL%20Summer%202024/,FR,91,2024-05-22,2024-07-18
LVP SL Summer 2024,https://gol.gg/tournament/tournament-stats/LVP%20SL%20Summer%202024/,ES,90,2024-05-22,2024-07-18
TCL Summer 2024,https://gol.gg/tournament/tournament-stats/TCL%20Summer%202024/,TR,56,2024-05-30,2024-07-18
EBL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/EBL%20Summer%20Playoffs%202024/,RS,16,2024-07-09,2024-07-17
NLC Summer 2024,https://gol.gg/tournament/tournament-stats/NLC%20Summer%202024/,EUW,56,2024-06-04,2024-07-17
Ultraliga Summer 2024,https://gol.gg/tournament/tournament-stats/Ultraliga%20Summer%202024/,PL,56,2024-06-04,2024-07-17
CBLOL Academy Split 2 2024,https://gol.gg/tournament/tournament-stats/CBLOL%20Academy%20Split%202%202024/,BR,93,2024-06-03,2024-07-16
Hitpoint Masters Summer 2024,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Summer%202024/,CZ,57,2024-06-03,2024-07-16
TCL Div2 Summer 2024,https://gol.gg/tournament/tournament-stats/TCL%20Div2%20Summer%202024/,TR,90,2024-05-21,2024-07-16
LJL Summer 2024,https://gol.gg/tournament/tournament-stats/LJL%20Summer%202024/,JP,60,2024-06-07,2024-07-14
